formation,location,name,periode,startDate
"Bac+5, Emsi Casablanca",  Casablanca,Stagiaire en Développement informatique ,6 mois,01/03/2023
"Bac+3, IAE",  Saint,Stagiaire en Marketing &amp; Communication ,4 mois,20/03/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Génie Informatique ,3 mois,01/01/2023
"Bac+3, FSJES Ain Sebaa",  Casablanca,Stagiaire en Génie Informatique ,3 mois,05/01/2023
"Bac+3, FSJES Salé",  Salé,Stagiaire en Economie et gestion ,6 mois,01/01/2023
"Bac+3, EST Oujda",  Fkih Ben Salah,Stagiaire en Génie Électrique ,4 mois,15/01/2023
"Bac+2, Autre",  Oujda,Stagiaire en Efficacité Energétique ,3 mois,01/04/2023
"Bac+5, Autre",  Ouarzazate,Stagiaire en Génie des Matériaux et Procédés ,3 mois,01/01/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Marketing &amp; Communication ,6 mois,16/01/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Economie et gestion ,2 mois,01/01/2023
"Bac+3, FSJES Settat",  Rabat,Stagiaire en Sciences Juridiques ,2 mois,15/01/2023
"Bac+3, Autre",  Bordeaux,Stagiaire en Ingénierie des Systèmes d'Information et de Communication ,2 mois,01/06/2023
"Bac+4, Université Ibn …",  Kénitra,Stagiaire en Génie Logiciel ,6 mois,01/01/2023
"Bac+5, Fac. des Lettre…",  Casablanca,Stagiaire en Marketing &amp; Communication ,3 mois,01/02/2023
"Bac+3, Autre",  Imzouren,Stagiaire en Agroalimentaire et Génie Biologique ,3 mois,01/01/2023
"Bac+4, FST Errachidia",  Errachidia,Stagiaire en Sciences &amp; Ingénierie de l'Environnement ,2 mois,01/01/2023
"Bac+2, ISTA ",  Tanger,Stagiaire en Génie des Systèmes Électroniques &amp; Automatiques ,3 mois,02/01/2023
"Bac+5, Emsi Casablanca",  Casablanca,Stagiaire en Informatique &amp; Systèmes d'Information ,6 mois,01/03/2023
"Bac+2, ISTAIE",  Casablanca,Stagiaire en Automobile ,6 mois,01/01/2023
"Bac+5, Autre",  Rabat,Stagiaire en Procédés &amp; Ingénierie Chimique ,,01/01/2023
"Bac+5, ENCG Kénitra",  Rabat,Stagiaire en Audit ,4 mois,16/01/2023
"Bac+5, ENSIAS",  Nador,Stagiaire en Génie Informatique ,6 mois,01/02/2023
